forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,segment
2023-08-01,3,16330912909,21795905058.93682,19057093824.10502,forecast_2020_plus
2023-09-01,3,17130679988,19182653791.42331,17528400284.845062,forecast_2020_plus
2023-10-01,3,16308621366,18221155937.94516,16658303644.824635,forecast_2020_plus
2023-11-01,3,15719830912,17521587758.818977,16095243885.636517,forecast_2020_plus
2023-12-01,3,16922530187,18606214806.4374,17222290953.23234,forecast_2020_plus
2024-01-01,3,15459241727,17556481793.991608,16224896498.01555,forecast_2020_plus
2024-02-01,3,12976621615,17375278273.702732,15928960317.838478,forecast_2020_plus
2024-03-01,3,18017207600,18414249635.048702,17287540631.271236,forecast_2020_plus
2024-04-01,3,15623948502,15887558518.20666,16424758785.108025,forecast_2020_plus
2024-05-01,3,17156929700,18232531371.470665,17836850827.97084,forecast_2020_plus
2024-06-01,3,19912255337,16754729271.475342,16581015749.84142,forecast_2020_plus
2024-07-01,3,18844751694,16369824160.15384,16128505394.82363,forecast_2020_plus
2024-08-01,3,17975867131,15781730189.169847,15826148695.90599,forecast_2020_plus
2024-09-01,3,23441488042,16061108165.415234,16438005600.743498,forecast_2020_plus
2024-10-01,3,19348491244,17353914068.379303,16869911860.83899,forecast_2020_plus
2024-11-01,3,18598094478,15624907581.607864,15747729265.920158,forecast_2020_plus
2024-12-01,3,21980718113,16404592091.964176,17049340113.85913,forecast_2020_plus
2012-07-01,6,13236516471,13355824895.944107,13326615621.063803,train_fitted_2010_2019
2012-08-01,6,13454126348,13462784588.714699,13456285771.249523,train_fitted_2010_2019
2012-09-01,6,13136362011,13172276070.261961,13188307362.266323,train_fitted_2010_2019
2012-10-01,6,13806343142,13768269033.950531,13604682239.55427,train_fitted_2010_2019
2012-11-01,6,12995830345,13067683798.26792,13035235579.278938,train_fitted_2010_2019
2012-12-01,6,12979986874,13070226010.320747,12978019613.858387,train_fitted_2010_2019
2013-01-01,6,13270087181,13219499138.44902,13052691553.035912,train_fitted_2010_2019
2013-02-01,6,12442104437,12430771199.98931,12395666540.087835,train_fitted_2010_2019
2013-03-01,6,13934248352,13963050192.086681,14042994413.464865,train_fitted_2010_2019
2013-04-01,6,13877522014,13480892804.538614,13601943191.960321,train_fitted_2010_2019
2013-05-01,6,14885665265,14407650189.449116,14273274266.09134,train_fitted_2010_2019
2013-06-01,6,14063161830,14103430006.733337,14084490044.396587,train_fitted_2010_2019
2013-07-01,6,14890811919,14951835373.716167,14855394222.669886,train_fitted_2010_2019
2013-08-01,6,14526726621,14537527401.258476,14480753838.035044,train_fitted_2010_2019
2013-09-01,6,15218483480,14854944904.709356,14606962363.263416,train_fitted_2010_2019
2013-10-01,6,15160724733,14952383261.244339,14700392632.89429,train_fitted_2010_2019
2013-11-01,6,13704923064,13722685856.162209,13706366177.58072,train_fitted_2010_2019
2013-12-01,6,13322370066,13325591411.861454,13245193374.666124,train_fitted_2010_2019
2014-01-01,6,12042272680,12228449616.721184,12167136965.73024,train_fitted_2010_2019
2014-02-01,6,12129411973,12299571092.759216,12298009731.214806,train_fitted_2010_2019
